IDENT, ,LATITUDE, ,LONGITUDE
 ,,,,
BASET, ,"51° 33' 50.00"" N", ,"1° 42' 36.00"" W"
BASID, ,"52° 23' 57.71"" N", ,"000° 38' 33.08"" E"
BATLI, ,"53° 38' 45.00"" N", ,"1° 21' 37.00"" W"
BCN05, ,"51° 48' 31.00"" N", ,"003° 15' 25.00"" W"
BCN06, ,"51° 38' 34.00"" N", ,"003° 16' 40.00"" W"
BCN10, ,"51° 53' 30.00"" N", ,"003° 15' 02.00"" W"
BCN15, ,"51° 47' 14.00"" N", ,"003° 39' 10.00"" W"
BCN23, ,"51° 49' 10.00"" N", ,"003° 51' 41.00"" W"
BCN24, ,"52° 08' 03.00"" N", ,"003° 13' 57.00"" W"
BCN25, ,"52° 42' 54.00"" N", ,"003° 02' 03.00"" W"
BCN65, ,"52° 48' 27.00"" N", ,"003° 06' 24.00"" W"
BEDEK, ,"51° 22' 15.00"" N", ,"1° 33' 31.00"" W"
BEDFO, ,"52° 13' 30.00"" N", ,"0° 33' 48.00"" W"
BEDNO, ,"51° 41' 01.68"" N", ,"001° 53' 47.88"" W"
BEECH, ,"50° 28' 14.00"" N", ,"0° 12' 36.00"" E"
BEGAM, ,"54° 9' 25.00"" N", ,"2° 7' 15.00"" W"
BEGTO, ,"50° 45' 45.00"" N", ,"1° 14' 8.00"" W"
BEKET, ,"58° 53' 13.00"" N", ,"1° 31' 20.00"" W"
BEKMO, ,"52° 59' 10.00"" N", ,"2° 37' 10.00"" E"
BEKSA, ,"51° 49' 4.00"" N", ,"2° 32' 46.00"" W"
BEL44, ,"55° 03' 39.00"" N", ,"007° 17' 46.00"" W"
BEL45, ,"55° 15' 01.00"" N", ,"007° 01' 59.00"" W"
BEL50, ,"54° 48' 11.00"" N", ,"007° 38' 56.00"" W"
BEL54, ,"54° 18' 06.31"" N", ,"004° 48' 56.98"" W"
BEL56, ,"55° 23' 53.00"" N", ,"007° 14' 23.00"" W"
BEL66, ,"54° 28' 42.31"" N", ,"008° 05' 09.18"" W"
BEL67, ,"54° 27' 56.31"" N", ,"008° 06' 10.17"" W"
BEL73, ,"54° 06' 51.37"" N", ,"004° 22' 18.11"" W"
BEL76, ,"55° 20' 54.00"" N", ,"008° 05' 31.00"" W"
BEL88, ,"53° 58' 42.00"" N", ,"004° 02' 50.00"" W"
BEL91, ,"54° 54' 20.00"" N", ,"008° 48' 09.00"" W"
BEL98, ,"54° 44' 36.00"" N", ,"009° 02' 15.00"" W"
BELOX, ,"53° 53' 16.00"" N", ,"3° 29' 23.00"" W"
BENBO, ,"50° 27' 5.00"" N", ,"0° 0' 37.00"" E"
BENIB, ,"52° 25' 29.27"" N", ,"000° 35' 59.53"" E"
BENSU, ,"51° 34' 44.00"" N", ,"0° 55' 8.00"" W"
BEREK, ,"51° 39' 22.00"" N", ,"1° 5' 49.00"" W"
BERUL, ,"52° 40' 16.00"" N", ,"3° 31' 13.00"" W"
BESGA, ,"60° 47' 23.00"" N", ,"7° 54' 46.00"" W"
BETAX, ,"53° 0' 33.00"" N", ,"0° 54' 3.00"" W"
BEVAM, ,"55° 43' 53.00"" N", ,"0° 15' 3.00"" E"
BEVEL, ,"50° 24' 54.00"" N", ,"1° 59' 7.00"" W"
BEWLI, ,"50° 45' 31.00"" N", ,"1° 48' 37.00"" W"
BHD41, ,"52° 42' 38.00"" N", ,"002° 53' 15.00"" W"
BHD46, ,"52° 48' 04.00"" N", ,"002° 53' 34.00"" W"
BHX00, ,"52° 26' 52.44"" N", ,"001° 44' 37.36"" W"
BHX01, ,"52° 27' 45.90"" N", ,"001° 45' 34.74"" W"
BHX04, ,"52° 31' 22.63"" N", ,"001° 48' 52.98"" W"
BHX07, ,"52° 21' 26.26"" N", ,"001° 37' 27.21"" W"
BHX15, ,"52° 35' 44.48"" N", ,"001° 52' 52.45"" W"
BHX16, ,"52° 20' 16.64"" N", ,"001° 40' 44.80"" W"
BHX17, ,"52° 19' 51.12"" N", ,"001° 43' 25.69"" W"
BHX24, ,"52° 34' 41.05"" N", ,"001° 55' 22.97"" W"
BHX31, ,"52° 33' 59.38"" N", ,"001° 56' 35.80"" W"
BHX45, ,"52° 22' 54.95"" N", ,"001° 39' 23.84"" W"
BHX56, ,"52° 20' 31.76"" N", ,"001° 39' 47.65"" W"
BHX60, ,"52° 33' 44.05"" N", ,"001° 51' 02.19"" W"
BHX67, ,"52° 19' 57.95"" N", ,"001° 42' 24.45"" W"
BIG02, ,"51° 18' 03.34"" N", ,"000° 00' 41.45"" E"
BIG03, ,"51° 22' 58.94"" N", ,"000° 04' 24.09"" E"
BIG04, ,"51° 23' 52.71"" N", ,"000° 05' 06.29"" E"
BIG05, ,"51° 20' 44.27"" N", ,"000° 02' 38.53"" E"
BIG07, ,"51° 26' 20.02"" N", ,"000° 06' 16.75"" E"
BIG17, ,"51° 26' 09.67"" N", ,"000° 06' 54.26"" E"
BIG30, ,"51° 45' 30.54"" N", ,"000° 22' 47.65"" W"
BIG31, ,"51° 43' 43.48"" N", ,"000° 49' 19.44"" W"
BIG40, ,"51° 47' 54.00"" N", ,"000° 43' 28.00"" W"
BIG41, ,"51° 11' 49.00"" N", ,"001° 06' 00.00"" E"
BIG42, ,"51° 25' 21.73"" N", ,"000° 08' 58.68"" E"
BIG45, ,"51° 24' 01.32"" N", ,"000° 04' 46.93"" E"
BIGNO, ,"50° 0' 0.00"" N", ,"2° 49' 30.00"" W"
BILLY, ,"60° 1' 11.00"" N", ,"8° 34' 8.00"" W"
BILNI, ,"50° 40' 31.00"" N", ,"2° 7' 33.00"" W"
BILVO, ,"53° 43' 52.00"" N", ,"3° 11' 9.00"" W"
BINBO, ,"53° 24' 6.00"" N", ,"3° 20' 29.00"" E"
BINTI, ,"54° 33' 45.00"" N", ,"1° 59' 45.00"" W"
BKY02, ,"51° 59' 02.13"" N", ,"000° 06' 54.27"" E"
BKY03, ,"52° 02' 22.44"" N", ,"000° 03' 22.65"" E"
BKY05, ,"51° 54' 27.74"" N", ,"000° 05' 07.17"" E"
BKY06, ,"52° 05' 22.71"" N", ,"000° 03' 53.19"" E"
BKY07, ,"52° 06' 21.70"" N", ,"000° 02' 55.45"" E"
BKY08, ,"51° 51' 29.19"" N", ,"000° 05' 44.19"" E"
BKY10, ,"51° 58' 09.59"" N", ,"000° 14' 52.22"" E"
BKY14, ,"51° 53' 39.75"" N", ,"000° 24' 22.53"" E"
BKY16, ,"52° 01' 03.42"" N", ,"000° 30' 17.74"" E"
BKY17, ,"51° 57' 24.90"" N", ,"000° 04' 16.71"" E"
BKY19, ,"51° 52' 25.72"" N", ,"000° 28' 47.46"" E"
BKY20, ,"51° 32' 27.13"" N", ,"000° 28' 56.42"" W"
BKY22, ,"52° 01' 38.36"" N", ,"000° 39' 56.66"" E"
BKY25, ,"51° 36' 00.72"" N", ,"000° 12' 36.05"" W"
BKY26, ,"51° 58' 20.40"" N", ,"000° 04' 11.82"" W"
BKY50, ,"51° 58' 25.53"" N", ,"000° 11' 39.52"" E"
BKY51, ,"52° 00' 54.48"" N", ,"000° 27' 51.71"" E"
BKY55, ,"51° 58' 30.67"" N", ,"000° 11' 41.08"" E"
BKY60, ,"51° 33' 55.70"" N", ,"000° 21' 47.85"" W"
BKY67, ,"51° 58' 41.00"" N", ,"000° 04' 17.76"" W"
BKY70, ,"52° 03' 25.95"" N", ,"000° 18' 31.59"" E"
BKY71, ,"52° 03' 50.14"" N", ,"000° 20' 00.60"" E"
BKY80, ,"51° 51' 30.57"" N", ,"000° 05' 57.53"" E"
BKY97, ,"51° 51' 35.56"" N", ,"000° 00' 48.72"" E"
BKY98, ,"51° 47' 41.82"" N", ,"000° 00' 38.04"" W"
BLACA, ,"54° 52' 60.00"" N", ,"5° 9' 32.00"" W"
BNN04, ,"51° 42' 11.81"" N", ,"000° 26' 56.25"" W"
BNN08, ,"51° 35' 46.54"" N", ,"000° 30' 05.73"" W"
BNN30, ,"51° 46' 33.78"" N", ,"000° 33' 09.12"" W"
BNN60, ,"51° 37' 42.06"" N", ,"000° 30' 58.81"" W"
BNN61, ,"51° 49' 33.56"" N", ,"000° 33' 19.26"" W"
BNN80, ,"51° 35' 44.74"" N", ,"000° 30' 18.86"" W"
BODSO, ,"53° 3' 8.00"" N", ,"2° 5' 41.00"" E"
BOGMI, ,"50° 59' 53.00"" N", ,"7° 12' 17.00"" W"
BOGNA, ,"50° 42' 7.00"" N", ,"0° 15' 6.00"" W"
BOLBI, ,"53° 28' 0.00"" N", ,"1° 48' 45.00"" W"
BOMBO, ,"51° 59' 44.00"" N", ,"0° 23' 47.00"" W"
BONBY, ,"57° 53' 30.00"" N", ,"4° 20' 36.00"" W"
BOYNE, ,"53° 46' 2.00"" N", ,"5° 30' 0.00"" W"
BPK05, ,"51° 48' 45.16"" N", ,"000° 01' 06.66"" W"
BPK07, ,"51° 44' 14.59"" N", ,"000° 04' 48.36"" E"
BPK09, ,"51° 51' 45.91"" N", ,"000° 03' 07.85"" E"
BPK18, ,"51° 58' 32.03"" N", ,"000° 12' 42.56"" E"
BPK21, ,"52° 03' 00.00"" N", ,"000° 23' 38.00"" W"
